"","Order","Family","Genus","Species_reported","Growth_form","Distribution","Microhabitat","Dispersal_period","Dispersal_syndrome","Embryoless","Viable","Dry_mass","Water_content","Dormancy","Species_acceptedLCVP"
"384","Pandanales","Velloziaceae","Vellozia","Vellozia ornata",NA,"Restricted","Xeric","LD","Autochory",NA,NA,0.27,NA,"NC","Vellozia_ornata"
"385","Pandanales","Velloziaceae","Vellozia","Vellozia pusilla","Herb","Restricted","Xeric","ED","Autochory",NA,NA,0.46,NA,"ND","Vellozia_pusilla"
"386","Pandanales","Velloziaceae","Vellozia","Vellozia resinosa","Shrub","Restricted","Xeric","LD","Autochory",NA,NA,0.56,NA,"ND","Vellozia_resinosa"
"387","Pandanales","Velloziaceae","Vellozia","Vellozia seubertiana","Shrub","Widespread","Xeric","LD","Autochory",NA,NA,0.27,NA,"ND","Vellozia_seubertiana"
"388","Pandanales","Velloziaceae","Vellozia","Vellozia spiralis","Shrub","Restricted","Xeric","LD","Autochory",NA,NA,0.17,NA,"ND","Vellozia_spiralis"
"389","Pandanales","Velloziaceae","Vellozia","Vellozia stenocarpa","Shrub","Restricted","Mesic/Xeric","LD","Autochory",NA,NA,0.39,NA,"ND","Vellozia_stenocarpa"
"390","Myrtales","Melastomataceae","Trembleya","Trembleya laniflora","Shrub","Restricted","Xeric",NA,"Autochory",85.6,NA,NA,NA,"NC","Microlicia_laniflora"
"391","Poales","Bromeliaceae","Dyckia","Dyckia sordida","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,13.4,"NC","Dyckia_sordida"
"392","Poales","Bromeliaceae","Dyckia","Dyckia ursina","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,28.3,"ND","Dyckia_ursina"
"393","Poales","Bromeliaceae","Encholirium","Encholirium heloisae","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,19,"ND","Encholirium_heloisae"
"394","Poales","Bromeliaceae","Encholirium","Encholirium magalhaesii","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,14.6,"ND","Encholirium_magalhaesii"
"395","Poales","Bromeliaceae","Encholirium","Encholirium pedicellatum","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,13.7,"ND","Encholirium_pedicellatum"
"396","Poales","Bromeliaceae","Encholirium","Encholirium reflexum","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,11.2,"ND","Encholirium_reflexum"
"397","Poales","Bromeliaceae","Encholirium","Encholirium scrutor","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,24,"NC","Encholirium_scrutor"
"398","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,12.7,"ND","Encholirium_subsecundum"
"399","Asterales","Asteraceae","Eremanthus","Eremanthus incanus","Tree","Widespread","Xeric","ER","Anemochory",NA,NA,0.23,NA,"ND","Eremanthus_incanus"
"400","Asterales","Asteraceae","Eremanthus","Eremanthus elaeagnus","Tree","Widespread","Mesic/Xeric","LD","Anemochory",NA,26,NA,NA,"NC","Eremanthus_elaeagnus"
"401","Asterales","Asteraceae","Eremanthus","Eremanthus glomerulatus","Tree","Widespread","Mesic/Xeric",NA,"Anemochory",85,NA,NA,NA,"NC","Eremanthus_glomeratus"
"402","Asterales","Asteraceae","Eremanthus","Eremanthus incanus","Tree","Widespread","Mesic/Xeric","ER","Anemochory",NA,NA,NA,NA,"NC","Eremanthus_incanus"
"403","Pandanales","Velloziaceae","Vellozia","Vellozia alutacea","Herb","Widespread","Mesic/Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_alutacea"
"404","Pandanales","Velloziaceae","Vellozia","Vellozia caruncularis",NA,"Restricted","Xeric","LR","Autochory",NA,NA,NA,NA,"ND","Vellozia_caruncularis"
"405","Pandanales","Velloziaceae","Vellozia","Vellozia intermedia",NA,"Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_intermedia"
"406","Pandanales","Velloziaceae","Vellozia","Vellozia albiflora","Herb","Restricted","Xeric","LR","Autochory",NA,NA,0.73,NA,"ND","Vellozia_albiflora"
"407","Pandanales","Velloziaceae","Vellozia","Vellozia alutacea","Herb","Widespread","Mesic/Xeric",NA,"Autochory",NA,NA,0.21,NA,"ND","Vellozia_alutacea"
"408","Pandanales","Velloziaceae","Vellozia","Vellozia caruncularis","Herb","Restricted","Xeric","LR","Autochory",NA,NA,0.16,NA,"ND","Vellozia_caruncularis"
"409","Pandanales","Velloziaceae","Vellozia","Vellozia gigantea","Tree","Restricted","Xeric","ER","Autochory",NA,NA,0.47,NA,"ND","Vellozia_gigantea"
"410","Pandanales","Velloziaceae","Vellozia","Vellozia glabra","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,0.66,NA,"ND","Vellozia_glabra"
"411","Pandanales","Velloziaceae","Vellozia","Vellozia glandulifera","Herb","Restricted","Xeric","ER","Autochory",NA,NA,0.49,NA,"ND","Vellozia_glandulifera"
"412","Pandanales","Velloziaceae","Vellozia","Vellozia glauca","Tree","Widespread","Xeric","ER","Autochory",NA,NA,0.86,NA,"ND","Vellozia_glauca"
"413","Pandanales","Velloziaceae","Vellozia","Vellozia intermedia","Herb","Restricted","Xeric","LR","Autochory",NA,NA,0.29,NA,"ND","Vellozia_intermedia"
"414","Pandanales","Velloziaceae","Vellozia","Vellozia lilacina","Shrub","Restricted","Xeric","LR","Autochory",NA,NA,0.61,NA,"ND","Vellozia_lilacina"
"415","Pandanales","Velloziaceae","Vellozia","Vellozia nivea","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,0.18,NA,"ND","Vellozia_nivea"
"416","Pandanales","Velloziaceae","Vellozia","Vellozia pusilla","Herb","Restricted","Xeric","ED","Autochory",NA,NA,0.4,NA,"ND","Vellozia_pusilla"
"417","Poales","Bromeliaceae","Pitcairnia","Pitcairnia albiflos","Herb","Restricted","Xeric",NA,"Anemochory",NA,NA,NA,NA,"NC","Pitcairnia_albiflos"
"418","Poales","Bromeliaceae","Pitcairnia","Pitcairnia staminea","Herb","Restricted","Xeric",NA,"Anemochory",NA,NA,NA,NA,"NC","Pitcairnia_staminea"
"419","Asterales","Asteraceae","Cavalcantia","Cavalcantia glomerata","Herb","Widespread","Xeric",NA,"Anemochory",1,92,0.05275,9.4,"D","Cavalcantia_glomerata"
"420","Asterales","Asteraceae","Cavalcantia","Cavalcantia percymosa","Herb","Widespread","Mesic",NA,"Anemochory",2,92,0.0665,4.5,"D","Cavalcantia_percymosa"
"421","Asterales","Asteraceae","Lepidaploa","Lepidaploa arenaria","Shrub","Widespread","Xeric",NA,"Anemochory",66,17,0.49575,8.9,"ND","Lepidaploa_arenaria"
"422","Asterales","Asteraceae","Lepidaploa","Lepidaploa paraensis","Shrub","Widespread","Mesic/Xeric",NA,"Anemochory",93,5,0.287,7.6,"NC","Lepidaploa_paraensis"
"423","Asterales","Asteraceae","Monogereion","Monogereion carajensis","Herb","Widespread","Xeric",NA,"Anemochory",0,91,0.062,14.2,"D","Monogereion_carajensis"
"424","Asterales","Asteraceae","Parapiqueria","Parapiqueria cavalcantei","Herb","Widespread","Mesic/Xeric",NA,"Autochory",12,29,0.0105,9.8,"ND","Parapiqueria_cavalcantei"
"425","Asterales","Asteraceae","Praxelis","Praxelis asperulacea","Herb","Widespread","Mesic/Xeric",NA,"Zoochory",20,64,0.2375,9.1,"ND","Praxelis_asperulacea"
"426","Lamiales","Bignoniaceae","Anemopaegma","Anemopaegma carajasense","Shrub","Restricted","Xeric",NA,"Anemochory",0,74,36.637,7.2,"ND","Anemopaegma_paraense"
"427","Poales","Bromeliaceae","Dyckia","Dyckia duckei","Herb","Restricted","Xeric",NA,"Anemochory",30,43,0.976,13.5,"ND","Dyckia_duckei"
"428","Solanales","Convolvulaceae","Ipomoea","Ipomoea cavalcantei","Liana","Widespread","Mesic",NA,"Autochory",0,86,24.184,11.3,"D","Ipomoea_cavalcantei"
"429","Solanales","Convolvulaceae","Ipomoea","Ipomoea marabaensis","Liana","Restricted","Mesic/Xeric",NA,"Autochory",0,29,36.563,10.3,"D","Ipomoea_marabensis"
"430","Solanales","Convolvulaceae","Ipomoea","Ipomoea maurandioides","Liana","Widespread","Xeric",NA,"Autochory",0,83,20.7,7.8,"D","Ipomoea_maurandioides"
"431","Solanales","Convolvulaceae","Operculina","Operculina hamiltonii","Liana","Widespread","Mesic/Xeric",NA,"Autochory",0,84,151.793,6,"D","Operculina_hamiltonii"
"432","Poales","Cyperaceae","Bulbostylis","Bulbostylis cangae","Herb","Restricted","Xeric",NA,"Autochory",12,70,0.137,7.7,"D","Bulbostylis_cangae"
"433","Poales","Cyperaceae","Bulbostylis","Bulbostylis conifera","Herb","Widespread","Xeric",NA,"Autochory",8,45,0.86,4.6,"D","Bulbostylis_conifera"
"434","Poales","Cyperaceae","Hypolytrum","Hypolytrum paraense","Herb","Widespread","Mesic",NA,"Autochory",0,78,12.611,14.8,"D","Hypolytrum_paraense"
"435","Poales","Eriocaulaceae","Paepalanthus","Paepalanthus fasciculoides","Herb","Widespread","Xeric",NA,"Anemochory",0,89,2.2805,3.9,"D","Paepalanthus_fasciculoides"
"436","Fabales","Fabaceae","Bauhinia","Bauhinia pulchella","Shrub","Widespread","Mesic/Xeric",NA,"Autochory",3,68,44.725,15.9,"ND","Bauhinia_pulchella"
"437","Fabales","Fabaceae","Chamaecrista","Chamaecrista desvauxii","Shrub","Widespread","Mesic/Xeric",NA,"Autochory",8,82,7.2975,8.9,"ND","Chamaecrista_desvauxii"
"438","Fabales","Fabaceae","Dioclea","Dioclea apurensis","Liana","Widespread","Mesic/Xeric",NA,"Autochory",5,80,175.152,10,"D","Dioclea_apurensis"
"439","Fabales","Fabaceae","Mimosa","Mimosa acutistipula var. ferrea","Shrub","Widespread","Xeric",NA,"Autochory",0,96,6.1285,10.7,"ND","Mimosa_acutistipula"
"440","Fabales","Fabaceae","Mimosa","Mimosa dasilvae","Shrub","Restricted","Mesic",NA,"Autochory",0,64,13.143,11.8,"ND","Mimosa_dasilvae"
"441","Fabales","Fabaceae","Mimosa","Mimosa skinneri var. carajarum","Herb","Restricted","Mesic",NA,"Autochory",0,80,8.32825,7.5,"D","Mimosa_skinneri"
"442","Gentianales","Gentianaceae","Chelonanthus","Chelonanthus purpurascens","Herb","Widespread","Mesic",NA,"Autochory",2,63,0.02075,10.2,"ND","Calolisianthus_purpurascens"
"443","Lamiales","Lentibulariaceae","Utricularia","Utricularia neottioides","Herb","Widespread","Mesic",NA,"Autochory",3,55,0.00325,23,"D","Utricularia_neottioides"
"444","Lamiales","Lentibulariaceae","Utricularia","Utricularia physoceras","Herb","Restricted","Mesic/Xeric",NA,"Autochory",5,64,0.00375,25,"D","Utricularia_physoceras"
"445","Lamiales","Lentibulariaceae","Utricularia","Utricularia subulata","Herb","Widespread","Mesic",NA,"Autochory",3,57,NA,NA,"D","Utricularia_subulata"
"446","Myrtales","Melastomataceae","Brasilianthus","Brasilianthus carajensis","Herb","Restricted","Mesic/Xeric",NA,"Autochory",22,47,0.03275,6.2,"ND","Brasilianthus_carajensis"
"447","Myrtales","Melastomataceae","Pleroma","Pleroma carajasense","Shrub","Widespread","Xeric",NA,"Anemochory",40,50,0.081,NA,"ND","Pleroma_riedelianum"
"448","Myrtales","Melastomataceae","Tibouchina","Tibouchina edmundoi","Shrub","Widespread","Xeric",NA,"Autochory",98,2,0.007,12.21,"ND","Tibouchina_edmundoi"
"449","Malpighiales","Ochnaceae","Sauvagesia","Sauvagesia tenella","Herb","Widespread","Mesic/Xeric",NA,"Autochory",5,72,0.01230769231,5.5,"D","Sauvagesia_tenella"
"450","Asparagales","Orchidaceae","Epidendrum","Epidendrum nocturnum","Herb","Widespread","Mesic/Xeric",NA,"Anemochory",0,NA,0.5638,21.7,"NC","Epidendrum_nocturnum"
"451","Asparagales","Orchidaceae","Sobralia","Sobralia liliastrum","Herb","Widespread","Xeric",NA,"Anemochory",0,NA,0.5638,22.5,"NC","Sobralia_liliastrum"
"452","Lamiales","Orobanchaceae","Buchnera","Buchnera carajasensis","Herb","Widespread","Mesic",NA,"Autochory",7,26,0.02525,4.8,"D","Buchnera_carajasensis"
"453","Poales","Poaceae","Axonopus","Axonopus carajasensis","Herb","Widespread","Xeric",NA,"Autochory",82,7,0.22975,9.99,"NC","Axonopus_siccus"
"454","Poales","Poaceae","Axonopus","Axonopus longispicus","Herb","Widespread","Mesic",NA,"Autochory",84,16,0.17825,11.1,"ND","Axonopus_longispicus"
"455","Poales","Poaceae","Paspalum","Paspalum cangarum","Herb","Restricted","Mesic",NA,"Anemochory",96,1,0.54525,10.3,"NC","Paspalum_cangarum"
"456","Poales","Poaceae","Paspalum","Paspalum cinerascens","Herb","Widespread","Mesic",NA,"Anemochory",90,4,0.18275,10.8,"NC","Paspalum_cinerascens"
"457","Poales","Poaceae","Sporobolus","Sporobolus multiramosus","Herb","Widespread","Xeric",NA,"Autochory",1,67,0.33325,12.4,"ND","Sporobolus_multiramosus"
"458","Poales","Poaceae","Trachypogon","Trachypogon spicatus","Herb","Widespread","Mesic/Xeric",NA,"Zoochory",82,18,1.063,7.7,"ND","Trachypogon_spicatus"
"459","Gentianales","Rubiaceae","Borreria","Borreria carajasensis","Shrub","Restricted","Mesic/Xeric",NA,"Autochory",3,56,0.5805,11.5,"D","Spermacoce_carajasensis"
"460","Gentianales","Rubiaceae","Borreria","Borreria elaiosulcata","Shrub","Restricted","Mesic/Xeric",NA,"Autochory",2,87,0.57925,10.4,"ND","Spermacoce_elaiosulcata"
"461","Gentianales","Rubiaceae","Carajasia","Carajasia cangae","Herb","Restricted","Xeric",NA,"Autochory",2,61,0.05775,13,"D","Carajasia_cangae"
"462","Gentianales","Rubiaceae","Mitracarpus","Mitracarpus carajasensis","Herb","Restricted","Xeric",NA,"Autochory",0,84,0.11075,12.7,"ND","Mitracarpus_carajasensis"
"463","Sapindales","Rutaceae","Pilocarpus","Pilocarpus microphyllus","Shrub","Widespread","Xeric",NA,"Autochory",0,83,38.205,7.7,"ND","Pilocarpus_microphyllus"
"464","Pandanales","Velloziaceae","Vellozia","Vellozia glauca","Shrub","Widespread","Xeric",NA,"Autochory",18,77,1.045,26.4,"ND","Vellozia_glauca"
"465","Poales","Xyridaceae","Xyris","Xyris brachysepala","Herb","Restricted","Mesic",NA,"Autochory",0,86,0.03125,10.8,"ND","Xyris_brachysepala"
"466","Pandanales","Velloziaceae","Vellozia","Vellozia albiflora",NA,"Restricted","Xeric","LR","Autochory",NA,62.1,NA,NA,"ND","Vellozia_albiflora"
"467","Pandanales","Velloziaceae","Vellozia","Vellozia compacta","Shrub","Restricted","Xeric","LR","Autochory",NA,90.1,NA,NA,"ND","Vellozia_compacta"
"468","Pandanales","Velloziaceae","Vellozia","Vellozia glochidea","Shrub","Widespread","Xeric","ED","Autochory",NA,97.5,NA,NA,"ND","Vellozia_glochidea"
"469","Pandanales","Velloziaceae","Vellozia","Vellozia goiasensis","Shrub","Widespread","Xeric","LD","Autochory",NA,53.4,NA,NA,"ND","Vellozia_goiasensis"
"470","Pandanales","Velloziaceae","Vellozia","Vellozia lilacina",NA,"Restricted","Xeric","ED","Autochory",NA,61.4,NA,NA,"ND","Vellozia_lilacina"
"471","Pandanales","Velloziaceae","Vellozia","Vellozia squamata","Shrub","Widespread","Mesic/Xeric","ED","Autochory",NA,64.1,NA,NA,"ND","Vellozia_squamata"
"472","Pandanales","Velloziaceae","Vellozia","Vellozia variabilis","Shrub","Widespread","Xeric","ED","Autochory",NA,91.3,NA,NA,"ND","Vellozia_alutacea"
"473","Fabales","Fabaceae","Mimosa","Mimosa foliolosa","Shrub","Widespread","Xeric","ER","Autochory",NA,27.4,NA,NA,"D","Mimosa_foliolosa"
"474","Myrtales","Melastomataceae","Fritzschia","Comolia sertularia","Shrub","Widespread","Xeric","ER","Autochory",NA,11.3,NA,NA,"D","Fritzschia_sertularia"
"475","Myrtales","Melastomataceae","Pleroma","Pleroma cardinale","Shrub","Widespread","Xeric","LR","Autochory",NA,27.6,0.05,14.6,"ND","Pleroma_cardinale"
"476","Myrtales","Melastomataceae","Cambessedesia","Cambessedesia regnelliana","Shrub","Widespread","Xeric","LD","Autochory",NA,NA,NA,NA,"ND","Cambessedesia_regnelliana"
"477","Myrtales","Melastomataceae","Miconia","Miconia angelana","Shrub","Widespread","Mesic",NA,"Zoochory",6.3,NA,NA,NA,"ND","Miconia_angelana"
"478","Myrtales","Melastomataceae","Microlicia","Microlicia inquinans","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"D","Microlicia_inquinans"
"479","Myrtales","Melastomataceae","Pleroma","Svitramia hatschbachii","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"NC","Pleroma_gertii"
"480","Myrtales","Melastomataceae","Pleroma","Svitramia minor","Tree","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"NC","Pleroma_minus"
"481","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera regalis","Shrub","Widespread","Xeric",NA,"Anemochory",NA,NA,NA,NA,"ND","Kielmeyera_regalis"
"482","Fabales","Fabaceae","Bauhinia","Bauhinia pentandra",NA,"Widespread","Mesic/Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Bauhinia_pentandra"
"483","Malvales","Malvaceae","Pavonia","Pavonia viscosa","Shrub","Restricted","Xeric",NA,"Zoochory",NA,NA,NA,NA,"D","Pavonia_viscosa"
"484","Solanales","Solanaceae","Solanum","Solanum lycocarpum",NA,NA,"Mesic/Xeric",NA,"Zoochory",NA,NA,NA,NA,"NC","Solanum_lycocarpum"
"485","Asterales","Asteraceae","Lychnophora","Lychnophora ericoides","Tree","Restricted","Xeric",NA,"Autochory",79.1,NA,NA,NA,"NC","Lychnophora_ericoides"
"486","Fabales","Fabaceae","Collaea","Collaea cipoensis","Shrub","Restricted","Mesic/Xeric","LR","Autochory",NA,NA,NA,NA,"ND","Collaea_cipoensis"
"487","Malpighiales","Ochnaceae","Luxemburgia","Luxemburgia ciliatibracteata","Shrub","Restricted","Xeric","LR","Autochory",NA,NA,NA,NA,"ND","Luxemburgia_ciliatibracteata"
"488","Caryophyllales","Cactaceae","Arthrocereus","Arthrocereus glaziovii","Succulent","Restricted","Xeric",NA,"Zoochory",NA,NA,NA,NA,"NC","Echinopsis_glaziovii"
"489","Poales","Poaceae","Eragrostis","Eragrostis polytricha","Herb","Widespread","Mesic","ED","Autochory",NA,NA,NA,NA,"D","Eragrostis_polytricha"
"490","Asparagales","Orchidaceae","Cattleya","Cattleya crispata","Herb","Restricted","Xeric",NA,"Anemochory",NA,NA,NA,NA,"ND","Cattleya_crispata"
"491","Poales","Eriocaulaceae","Comanthera","Comanthera elegans","Herb","Restricted","Mesic/Xeric",NA,"Anemochory",NA,NA,NA,NA,"NC","Comanthera_elegans"
"492","Myrtales","Melastomataceae","Pleroma","Pleroma cardinale","Shrub","Widespread","Xeric","ER","Autochory",NA,15,NA,NA,"ND","Pleroma_cardinale"
