Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dispersal_syndrome
Miconia_alborufescens,Shrub,Widespread,Xeric,Zoochory
Miconia_chamissois,Shrub,Widespread,Mesic,Zoochory
Miconia_cipoensis,Shrub,Restricted,Xeric,Zoochory
Miconia_corallina,Shrub,Widespread,Xeric,Zoochory
Miconia_ibaguensis,Shrub,Widespread,Mesic,Zoochory
Miconia_stenostachya,Shrub,Widespread,Xeric,Zoochory
Miconia_theaezans,Shrub,Widespread,Mesic,Zoochory
Microlicia_avicularis,Shrub,Restricted,Xeric,Autochory
Microlicia_graveolens,Shrub,Restricted,Mesic,Autochory
Microlicia_fulva,Shrub,Restricted,Xeric,Autochory
Tibouchina_cardinalis,Shrub,Widespread,Xeric,Autochory
Tibouchina_martiusiana,Shrub,Restricted,Xeric,Autochory
Pterolepis_alpestris,Shrub,Widespread,Mesic,Autochory
Rhynchanthera_cordata,Shrub,Widespread,Mesic,Autochory
Rhynchanthera_grandiflora,Shrub,Widespread,Mesic,Autochory
Trembleya_parviflora,Shrub,Widespread,Mesic/Xeric,Autochory
Vellozia_aloifolia,Shrub,Restricted,Xeric,Autochory
Vellozia_ciliata,Herb,Restricted,Xeric,Autochory
Vellozia_glauca,Shrub,Widespread,Xeric,Autochory
Vellozia_hatschbachii,Shrub,Restricted,Xeric,Autochory
Vellozia_hirsuta,Shrub,Restricted,Xeric,Autochory
Vellozia_maxillarioides,Shrub,Restricted,Xeric,Autochory
Vellozia_minima,Herb,Restricted,Mesic/Xeric,Autochory
Vellozia_pusilla,Herb,Restricted,Xeric,Autochory
Vellozia_seubertiana,Shrub,Widespread,Xeric,Autochory
Vellozia_spiralis,Shrub,Restricted,Xeric,Autochory
Vellozia_stenocarpa,Shrub,Restricted,Mesic/Xeric,Autochory
Dyckia_sordida,Herb,Restricted,Xeric,Anemochory
Dyckia_ursina,Herb,Restricted,Xeric,Anemochory
Encholirium_heloisae,Herb,Restricted,Xeric,Anemochory
Encholirium_magalhaesii,Herb,Restricted,Xeric,Anemochory
Encholirium_pedicellatum,Herb,Restricted,Xeric,Anemochory
Encholirium_reflexum,Herb,Restricted,Xeric,Anemochory
Encholirium_scrutor,Herb,Restricted,Xeric,Anemochory
